Time,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,interestAndDebtExpense,ebit
2008-06-30,3020000000,16962000000,13942000000,1247000000,1832000000,50000000,1247000000
2008-09-30,2752000000,15293000000,12541000000,1147000000,1605000000,49000000,1147000000
2008-12-31,1400000000,12664000000,11264000000,-243000000,1645000000,57000000,-243000000
2009-03-31,2757000000,16502000000,-13745000000,1025000000,1732000000,57000000,1025000000
2009-06-30,3347000000,17154000000,-13807000000,1529000000,1888000000,80000000,1529000000
2009-09-30,2208000000,16688000000,-14480000000,-2151000000,4443000000,92000000,-2151000000
2009-12-31,3429000000,17937000000,-14508000000,1693000000,1939000000,110000000,1693000000
2010-03-31,3072000000,15216000000,12144000000,1174000000,2027000000,122000000,1174000000
2010-06-30,3033000000,15573000000,12540000000,1307000000,1780000000,132000000,1307000000
2010-09-30,3221000000,16967000000,13746000000,1387000000,1908000000,130000000,1387000000
2010-12-31,3137000000,16550000000,13413000000,1103000000,3738000000,132000000,1103000000
2011-03-31,2861000000,14910000000,12049000000,1000000000,1982000000,130000000,1000000000
2011-06-30,3343000000,16543000000,13200000000,1534000000,1897000000,123000000,1534000000
2011-09-30,3370000000,17727000000,14357000000,1714000000,1708000000,121000000,1714000000
2011-12-31,3273000000,19555000000,16261000000,1597000000,3366000000,103000000,1597000000
2012-03-31,3309000000,19383000000,16074000000,1565000000,1826000000,114000000,1565000000
2012-06-30,3259000000,20005000000,16746000000,1542000000,1762000000,106000000,1542000000
2012-09-30,3209000000,20008000000,16799000000,1559000000,1770000000,110000000,1559000000
2012-12-31,3256000000,22302000000,19046000000,1624000000,4150000000,112000000,1624000000
2013-03-31,3137000000,18893000000,15756000000,1528000000,1680000000,99000000,1528000000
2013-06-30,3365000000,21815000000,18450000000,1716000000,1692000000,96000000,1716000000
2013-09-30,3456000000,22130000000,18674000000,1803000000,1712000000,95000000,1803000000
2013-12-31,3397000000,23785000000,20388000000,1515000000,2760000000,96000000,1515000000
2014-03-31,3169000000,20465000000,17296000000,1542000000,1715000000,92000000,1542000000
2014-06-30,3375000000,22045000000,18670000000,1787000000,1649000000,81000000,1787000000
2014-09-30,3709000000,23784000000,20075000000,2119000000,1682000000,79000000,2119000000
2014-12-31,3757000000,24468000000,20711000000,2025000000,2263000000,81000000,2025000000
2015-03-31,3653000000,22149000000,18496000000,2019000000,1730000000,61000000,2019000000
2015-06-30,3193000000,24543000000,21350000000,1683000000,1560000000,75000000,1683000000
2015-09-30,4249000000,25849000000,21600000000,2580000000,1747000000,67000000,2580000000
2015-12-31,2931000000,23573000000,20642000000,1161000000,2104000000,72000000,1161000000
2016-03-31,3535000000,22632000000,19097000000,1788000000,1834000000,73000000,1788000000
2016-06-30,2430000000,24755000000,22325000000,-419000000,2946000000,73000000,-419000000
2016-09-30,3994000000,23898000000,19904000000,2282000000,1781000000,81000000,2282000000
2016-12-31,4511000000,23286000000,19464000000,2183000000,1971000000,79000000,2183000000
2017-03-31,3888000000,21961000000,18073000000,2206000000,1792000000,87000000,2206000000
2017-06-30,4349000000,23051000000,18702000000,2530000000,1855000000,93000000,2530000000
2017-09-30,4267000000,24223000000,19956000000,2630000000,1682000000,87000000,2630000000
2017-12-31,4889000000,24770000000,19881000000,2978000000,2224000000,93000000,2978000000
2018-03-31,4558000000,23382000000,18824000000,2875000000,1777000000,102000000,2875000000
2018-06-30,4722000000,24258000000,19536000000,2710000000,2018000000,109000000,2710000000
2018-09-30,4106000000,25146000000,21040000000,2227000000,1911000000,106000000,2227000000
2018-12-31,6251000000,28341000000,22090000000,4175000000,2377000000,158000000,4175000000
2019-03-31,4272000000,22917000000,18645000000,2350000000,1976000000,123000000,2350000000
2019-06-30,-2059000000,15751000000,17810000000,-3380000000,1306000000,154000000,-3380000000
2019-09-30,3050000000,19980000000,16930000000,1259000000,1783000000,203000000,1259000000
2019-12-31,-797000000,17911000000,18708000000,-2204000000,-395,242000000,-2204000000
2020-03-31,140000000,16908000000,16768000000,-1353000000,1546000000,262000000,-1353000000
2020-06-30,-1171000000,11807000000,12978000000,-2964000000,2400000000,553000000,-2964000000
2020-09-30,1034000000,14139000000,13105000000,-401000000,1421000000,643000000,-401000000
2020-12-31,-5688000000,15304000000,20992000000,-8049000000,2859000000,698000000,-8049000000
2021-03-31,1409000000,15217000000,13808000000,-83000000,1555000000,679000000,-83000000
2021-06-30,2410000000,16998000000,14588000000,1023000000,1425000000,673000000,1023000000
2021-09-30,1712000000,15278000000,13566000000,329000000,1503000000,669000000,329000000
2021-12-31,-2514000000,14793000000,17307000000,-4171000000,1991000000,661000000,-4171000000
2022-03-31,353000000,13991000000,13638000000,-1162000000,1574000000,637000000,-1162000000
2022-06-30,2128000000,16681000000,14553000000,780000000,1365000000,656000000,780000000
2022-09-30,-815000000,15956000000,16771000000,-2792000000,1953000000,628000000,-2792000000
2022-12-31,1836000000,19980000000,18144000000,-373000000,2493000000,612000000,-373000000
2023-03-31,1923000000,17921000000,15998000000,-149000000,2055000000,649000000,-149000000
2023-06-30,1939000000,19751000000,17812000000,-99000000,2082000000,621000000,-99000000
2023-09-30,1165000000,18104000000,16939000000,-808000000,2001000000,589000000,-808000000
